t,x,y
0E+00,-2.58283E-04,6.457074E-03
1.098189E+00,-7.348612E-04,6.529314E-03
1.131678E+00,-7.535557E-04,6.533008E-03
1.165156E+00,-1.223386E-03,6.460175E-03
1.198633E+00,-1.286934E-03,6.329376E-03
1.232122E+00,-1.12732E-03,6.309212E-03
1.2656E+00,-1.20698E-03,6.385392E-03
1.299078E+00,-1.10882E-03,6.384604E-03
1.332567E+00,-5.662548E-04,6.303645E-03
1.366044E+00,-1.292571E-03,6.112537E-03
1.399533E+00,-1.370781E-03,6.015486E-03
1.433011E+00,-7.82137E-04,5.983704E-03
1.466489E+00,-6.036801E-04,5.729345E-03
1.499978E+00,-6.528308E-04,5.525564E-03
1.533456E+00,-2.228138E-04,5.496054E-03
1.566944E+00,3.243119E-05,5.160269E-03
1.600422E+00,3.751671E-04,4.958567E-03
1.6339E+00,4.313928E-04,4.83833E-03
1.667389E+00,3.707668E-04,4.908359E-03
1.700867E+00,1.024951E-03,4.850343E-03
1.734344E+00,8.518057E-04,4.736333E-03
1.767833E+00,8.791242E-04,4.389951E-03
1.801311E+00,1.298863E-03,4.236114E-03
1.8348E+00,7.880883E-04,4.053125E-03
1.868278E+00,1.281824E-03,3.73327E-03
1.901756E+00,6.517328E-04,3.50895E-03
1.935244E+00,3.696217E-04,2.912927E-03
1.968722E+00,4.224048E-04,2.511151E-03
2.0022E+00,1.153683E-03,2.136948E-03
2.035689E+00,9.510872E-04,1.404658E-03
2.069167E+00,1.17054E-03,1.096555E-03
2.102656E+00,3.354143E-04,3.353829E-04
2.136133E+00,9.39426E-04,-2.199642E-04
2.169611E+00,6.662041E-04,-1.07283E-03
2.2031E+00,3.185657E-04,-1.608527E-03
2.236578E+00,1.897077E-04,-2.593434E-03
2.270056E+00,6.438758E-04,-3.481228E-03
2.303544E+00,7.493939E-04,-4.166163E-03
2.337022E+00,1.338136E-03,-5.077619E-03
2.370511E+00,1.270827E-03,-5.575856E-03
2.403989E+00,1.54316E-03,-6.375745E-03
2.437467E+00,1.502843E-03,-7.307854E-03
2.470956E+00,1.959074E-03,-8.018171E-03
2.504433E+00,1.531712E-03,-8.951831E-03
2.537922E+00,2.408383E-03,-9.705916E-03
2.5714E+00,2.49603E-03,-1.031835E-02
2.604878E+00,2.563596E-03,-1.115004E-02
2.638367E+00,2.524674E-03,-1.200661E-02
2.671844E+00,2.459808E-03,-1.280191E-02
2.705333E+00,2.389998E-03,-1.355138E-02
2.738811E+00,2.436881E-03,-1.46474E-02
2.772289E+00,2.102202E-03,-1.550124E-02
2.805778E+00,2.776292E-03,-1.637619E-02
2.839256E+00,2.368621E-03,-1.7261E-02
2.872733E+00,2.240518E-03,-1.836721E-02
2.906222E+00,2.188047E-03,-1.94018E-02
2.9397E+00,2.000975E-03,-2.0528E-02
2.973189E+00,1.911624E-03,-2.167941E-02
3.006667E+00,2.080023E-03,-2.26642E-02
3.040144E+00,1.655251E-03,-2.383067E-02
3.073633E+00,2.090857E-03,-2.53887E-02
3.107111E+00,2.152598E-03,-2.653373E-02
3.140589E+00,2.173739E-03,-2.804042E-02
3.174078E+00,2.348112E-03,-2.929806E-02
3.207556E+00,2.322093E-03,-3.076697E-02
3.241044E+00,1.921625E-03,-3.203702E-02
3.274522E+00,2.042855E-03,-3.368384E-02
3.308E+00,2.335863E-03,-3.524713E-02
3.341489E+00,2.57606E-03,-3.665587E-02
3.374967E+00,2.761069E-03,-3.799916E-02
3.408456E+00,2.730111E-03,-3.948875E-02
3.441933E+00,3.129867E-03,-4.093111E-02
3.475411E+00,3.142209E-03,-4.233062E-02
3.5089E+00,3.7385E-03,-4.396019E-02
3.542378E+00,4.071781E-03,-4.549012E-02
3.575856E+00,4.115513E-03,-4.715837E-02
3.609344E+00,4.02096E-03,-4.84832E-02
3.642822E+00,1.806745E-03,-4.982563E-02
3.676311E+00,1.410862E-03,-5.142001E-02
3.709789E+00,1.056752E-03,-5.320792E-02
3.743267E+00,1.131804E-03,-5.49256E-02
3.776756E+00,1.088721E-03,-5.651641E-02
3.810233E+00,8.463196E-04,-5.824981E-02
3.843711E+00,5.548531E-04,-5.975737E-02
3.8772E+00,7.646884E-04,-6.190458E-02
3.910678E+00,1.060541E-04,-6.362889E-02
3.944167E+00,1.067235E-03,-6.542639E-02
3.977644E+00,1.085978E-03,-6.739568E-02
4.011122E+00,8.500203E-04,-6.945253E-02
4.044611E+00,4.202644E-04,-7.130739E-02
4.078089E+00,-2.442141E-04,-7.340954E-02
4.111578E+00,5.087753E-06,-7.580361E-02
4.145056E+00,-3.161793E-04,-7.777154E-02
4.178533E+00,-3.713881E-04,-7.966462E-02
4.212022E+00,-3.570203E-04,-8.184164E-02
4.2455E+00,-7.961915E-04,-8.392654E-02
4.278978E+00,-5.906754E-04,-8.6157E-02
4.312467E+00,-8.815464E-04,-8.825597E-02
4.345944E+00,-6.648367E-04,-9.048923E-02
4.379433E+00,1.262298E-04,-9.28847E-02
4.412911E+00,-1.533555E-05,-9.520073E-02
4.446389E+00,1.381939E-04,-9.74651E-02
4.469878E+00,1.053874E-04,-9.931442E-02
4.503367E+00,1.236827E-04,-1.014265E-01
4.536844E+00,5.974081E-04,-1.03745E-01
4.570333E+00,7.448418E-04,-1.061199E-01
4.603811E+00,1.347376E-03,-1.08756E-01
4.637289E+00,1.193483E-03,-1.110457E-01
4.6708E+00,1.837664E-03,-1.136854E-01
4.704256E+00,1.763759E-03,-1.161889E-01
4.737744E+00,1.849526E-03,-1.181348E-01
4.771222E+00,2.230301E-03,-1.206099E-01
4.8047E+00,2.461272E-03,-1.231324E-01
4.838189E+00,1.911434E-03,-1.255225E-01
4.871667E+00,2.244202E-03,-1.279998E-01
4.905144E+00,2.161256E-03,-1.304292E-01
4.938633E+00,2.263437E-03,-1.329732E-01
4.972111E+00,2.49163E-03,-1.357468E-01
5.0056E+00,2.310984E-03,-1.381988E-01
5.039078E+00,2.101048E-03,-1.410838E-01
5.072556E+00,1.815711E-03,-1.436932E-01
5.106044E+00,2.280081E-03,-1.464548E-01
5.139522E+00,2.354891E-03,-1.495541E-01
5.173E+00,2.154269E-03,-1.522935E-01
5.206489E+00,2.161048E-03,-1.551525E-01
5.239967E+00,1.936903E-03,-1.580627E-01
5.273456E+00,1.74861E-03,-1.609086E-01
5.306933E+00,1.880473E-03,-1.638135E-01
5.340411E+00,7.893277E-04,-1.665973E-01
5.3739E+00,8.497379E-04,-1.697196E-01
5.407378E+00,1.006125E-03,-1.72483E-01
5.440856E+00,9.045993E-04,-1.760408E-01
5.474344E+00,6.719703E-04,-1.78773E-01
5.507822E+00,7.027859E-04,-1.818126E-01
5.541311E+00,5.65097E-04,-1.850157E-01
5.574789E+00,5.426183E-04,-1.880394E-01
5.608267E+00,6.096923E-04,-1.913034E-01
5.641756E+00,6.990381E-04,-1.944645E-01
5.675233E+00,5.580483E-04,-1.974588E-01
5.708722E+00,5.86664E-04,-2.007202E-01
5.7422E+00,5.632011E-04,-2.039475E-01
5.775678E+00,1.02628E-03,-2.070198E-01
5.809167E+00,7.373098E-04,-2.102081E-01
5.842644E+00,5.634652E-04,-2.134724E-01
5.876122E+00,6.227703E-04,-2.167786E-01
5.909611E+00,1.154151E-03,-2.201563E-01
5.943089E+00,9.267317E-04,-2.234154E-01
5.976578E+00,1.693849E-03,-2.267866E-01
6.010056E+00,1.601319E-03,-2.303952E-01
6.043533E+00,2.675173E-03,-2.338158E-01
6.077022E+00,3.602333E-03,-2.374316E-01
6.1105E+00,3.828971E-03,-2.408508E-01
6.143978E+00,4.278086E-03,-2.444101E-01
6.177467E+00,5.113158E-03,-2.480091E-01
6.210944E+00,5.453733E-03,-2.516574E-01
6.244433E+00,5.921075E-03,-2.552269E-01
6.277911E+00,6.45322E-03,-2.588483E-01
6.311389E+00,6.406755E-03,-2.625205E-01
6.344878E+00,6.421859E-03,-2.66144E-01
6.378356E+00,6.535806E-03,-2.698434E-01
6.411844E+00,6.564765E-03,-2.73609E-01
6.445322E+00,6.558507E-03,-2.772344E-01
