t,y
0.000000E0,7.482399E-3
3.348229E-2,7.336047E-3
6.696457E-2,7.441353E-3
1.004469E-1,7.455802E-3
1.339291E-1,7.556352E-3
1.674114E-1,7.474281E-3
2.008937E-1,7.512239E-3
2.343760E-1,7.636640E-3
2.678583E-1,7.789664E-3
3.013406E-1,7.999095E-3
3.348229E-1,7.999134E-3
3.683052E-1,8.131069E-3
4.017874E-1,8.176604E-3
4.352697E-1,8.432561E-3
4.687520E-1,8.210259E-3
5.022343E-1,8.156036E-3
5.357166E-1,8.209830E-3
5.691989E-1,8.055499E-3
6.026812E-1,7.888662E-3
6.361635E-1,7.748405E-3
6.696457E-1,7.682734E-3
7.031280E-1,7.526121E-3
7.366103E-1,7.371353E-3
7.700926E-1,7.131288E-3
8.035749E-1,6.834871E-3
8.370572E-1,6.555154E-3
8.705395E-1,6.253186E-3
9.040218E-1,5.821614E-3
9.375040E-1,5.482621E-3
9.709863E-1,5.275780E-3
1.004469E0,4.928657E-3
1.037951E0,4.453533E-3
1.071433E0,3.989603E-3
1.104915E0,3.520876E-3
1.138398E0,2.928312E-3
1.171880E0,2.476485E-3
1.205362E0,1.800159E-3
1.238845E0,1.194654E-3
1.272327E0,3.526849E-4
1.305809E0,-3.464845E-4
1.339291E0,-1.217422E-3
1.372774E0,-1.937416E-3
1.406256E0,-2.822561E-3
1.439738E0,-3.839307E-3
1.473221E0,-4.811732E-3
1.506703E0,-5.945209E-3
1.540185E0,-6.976799E-3
1.573667E0,-8.055840E-3
1.607150E0,-9.241982E-3
1.640632E0,-1.036902E-2
1.674114E0,-1.162254E-2
1.707597E0,-1.287602E-2
1.741079E0,-1.415299E-2
1.774561E0,-1.550781E-2
1.808044E0,-1.685219E-2
1.841526E0,-1.820507E-2
1.875008E0,-1.964164E-2
1.908490E0,-2.099051E-2
1.941973E0,-2.240212E-2
1.975455E0,-2.373413E-2
2.008937E0,-2.533538E-2
2.042420E0,-2.669111E-2
2.075902E0,-2.832614E-2
2.109384E0,-2.985205E-2
2.142866E0,-3.124434E-2
2.176349E0,-3.292013E-2
2.209831E0,-3.460751E-2
2.243313E0,-3.632782E-2
2.276796E0,-3.814685E-2
2.310278E0,-3.983772E-2
2.343760E0,-4.187124E-2
2.377242E0,-4.387539E-2
2.410725E0,-4.576258E-2
2.444207E0,-4.777697E-2
2.477689E0,-4.987491E-2
2.511172E0,-5.196169E-2
2.544654E0,-5.410168E-2
2.578136E0,-5.643652E-2
2.611618E0,-5.880482E-2
2.645101E0,-6.094384E-2
2.678583E0,-6.335338E-2
2.712065E0,-6.550634E-2
2.745548E0,-6.793460E-2
2.779030E0,-7.033973E-2
2.812512E0,-7.276433E-2
2.845994E0,-7.540946E-2
2.879477E0,-7.792586E-2
2.912959E0,-8.047757E-2
2.946441E0,-8.278673E-2
2.979924E0,-8.553547E-2
3.013406E0,-8.807506E-2
3.046888E0,-9.072883E-2
3.080370E0,-9.330817E-2
3.113853E0,-9.587552E-2
3.147335E0,-9.875347E-2
3.180817E0,-1.015425E-1
3.214300E0,-1.044701E-1
3.247782E0,-1.074646E-1
3.281264E0,-1.103624E-1
3.314746E0,-1.132332E-1
3.348229E0,-1.162195E-1
3.381711E0,-1.193404E-1
3.415193E0,-1.224879E-1
3.448676E0,-1.257471E-1
3.482158E0,-1.288320E-1
3.515640E0,-1.319974E-1
3.549122E0,-1.352222E-1
3.582605E0,-1.387647E-1
3.616087E0,-1.419785E-1
3.649569E0,-1.453827E-1
3.683052E0,-1.488301E-1
3.716534E0,-1.523435E-1
3.750016E0,-1.558924E-1
3.783498E0,-1.593397E-1
3.816981E0,-1.630609E-1
3.850463E0,-1.666130E-1
3.883945E0,-1.703331E-1
3.917428E0,-1.741327E-1
3.950910E0,-1.776369E-1
3.984392E0,-1.813454E-1
4.017874E0,-1.851708E-1
4.051357E0,-1.889236E-1
4.084839E0,-1.928931E-1
4.118321E0,-1.966180E-1
4.151804E0,-2.005799E-1
4.185286E0,-2.045106E-1
4.218768E0,-2.085711E-1
4.252250E0,-2.126323E-1
4.285733E0,-2.168300E-1
4.319215E0,-2.201886E-1
4.352697E0,-2.242530E-1
4.386180E0,-2.283195E-1
4.419662E0,-2.325403E-1
4.453144E0,-2.367503E-1
4.486626E0,-2.409467E-1
4.520109E0,-2.452561E-1
4.553591E0,-2.496382E-1
4.587073E0,-2.541627E-1
4.620556E0,-2.586799E-1
