t,y
0.000000E0,6.452025E-3
1.671111E-2,6.413727E-3
3.341111E-2,6.407670E-3
5.012222E-2,6.507123E-3
6.025556E-2,6.421723E-3
9.373333E-2,6.341169E-3
1.272222E-1,6.318107E-3
1.607000E-1,6.242609E-3
1.941778E-1,6.359330E-3
2.276667E-1,6.287339E-3
2.611444E-1,6.171361E-3
2.946333E-1,6.111711E-3
3.281111E-1,6.000504E-3
3.615889E-1,6.032276E-3
3.950778E-1,5.941885E-3
4.285556E-1,5.964192E-3
4.620333E-1,6.048382E-3
4.955222E-1,6.049059E-3
5.290000E-1,6.000910E-3
5.624889E-1,6.059442E-3
5.959667E-1,6.024569E-3
6.294444E-1,6.115923E-3
6.629333E-1,6.040297E-3
6.964111E-1,6.102534E-3
7.299000E-1,6.065819E-3
7.633778E-1,6.082811E-3
7.968556E-1,6.071357E-3
8.303444E-1,6.022355E-3
8.638222E-1,5.938261E-3
8.973000E-1,5.900646E-3
9.307889E-1,5.569643E-3
9.642667E-1,5.463440E-3
9.976889E-1,5.271750E-3
1.031233E0,4.987457E-3
1.064711E0,4.523993E-3
1.098200E0,4.059548E-3
1.131678E0,3.735294E-3
1.165156E0,3.247757E-3
1.198644E0,2.422249E-3
1.232122E0,1.839780E-3
1.265611E0,1.309024E-3
1.299089E0,4.671058E-4
1.332567E0,-2.268989E-4
1.366056E0,-8.222861E-4
1.399533E0,-1.769861E-3
1.433022E0,-2.696902E-3
1.466600E0,-3.420725E-3
1.499978E0,-4.322714E-3
1.533467E0,-5.226433E-3
1.566944E0,-6.083792E-3
1.600422E0,-6.995531E-3
1.633911E0,-7.967809E-3
1.667389E0,-9.154158E-3
1.700878E0,-1.024492E-2
1.734356E0,-1.141497E-2
1.767833E0,-1.274071E-2
1.801322E0,-1.388480E-2
1.834800E0,-1.506188E-2
1.868289E0,-1.648387E-2
1.901767E0,-1.786553E-2
1.935222E0,-1.935710E-2
1.968733E0,-2.084218E-2
2.002211E0,-2.246099E-2
2.035689E0,-2.396765E-2
2.069178E0,-2.561295E-2
2.102656E0,-2.741524E-2
2.136144E0,-2.900659E-2
2.169622E0,-3.103138E-2
2.203100E0,-3.286340E-2
2.236589E0,-3.485800E-2
2.270067E0,-3.692080E-2
2.303544E0,-3.888231E-2
2.337033E0,-4.102469E-2
2.370511E0,-4.302156E-2
2.404000E0,-4.494792E-2
2.437478E0,-4.730700E-2
2.470956E0,-4.941796E-2
2.504444E0,-5.148732E-2
2.537922E0,-5.370315E-2
2.571400E0,-5.594570E-2
2.604889E0,-5.846361E-2
2.638367E0,-6.080654E-2
2.671856E0,-6.324248E-2
2.705333E0,-6.561451E-2
2.738811E0,-6.791820E-2
2.772300E0,-7.069116E-2
2.805778E0,-7.321257E-2
2.839267E0,-7.592179E-2
2.872744E0,-7.861146E-2
2.906222E0,-8.146050E-2
2.939711E0,-8.398749E-2
2.973189E0,-8.710009E-2
3.006667E0,-8.991328E-2
3.040156E0,-9.292585E-2
3.073633E0,-9.609669E-2
3.107122E0,-9.911004E-2
3.140600E0,-1.023435E-1
3.174078E0,-1.052465E-1
3.207567E0,-1.085396E-1
3.241044E0,-1.116372E-1
3.274533E0,-1.149685E-1
3.308011E0,-1.182373E-1
3.341489E0,-1.215909E-1
3.374978E0,-1.248627E-1
3.408456E0,-1.281571E-1
3.441933E0,-1.315641E-1
3.475422E0,-1.350295E-1
3.508900E0,-1.387185E-1
3.542389E0,-1.421397E-1
3.575867E0,-1.456695E-1
3.609344E0,-1.494269E-1
3.642833E0,-1.530425E-1
3.676311E0,-1.567550E-1
3.709800E0,-1.606762E-1
3.743278E0,-1.644459E-1
3.776756E0,-1.681090E-1
3.810244E0,-1.718914E-1
3.843722E0,-1.760258E-1
3.877200E0,-1.800818E-1
3.910689E0,-1.838204E-1
3.944167E0,-1.880695E-1
3.977656E0,-1.922511E-1
4.011133E0,-1.962193E-1
4.044611E0,-2.006609E-1
4.068100E0,-2.040445E-1
4.101589E0,-2.082718E-1
4.135067E0,-2.127692E-1
4.168544E0,-2.170949E-1
4.202033E0,-2.215453E-1
4.235511E0,-2.261861E-1
4.269000E0,-2.305854E-1
4.302478E0,-2.352579E-1
4.335956E0,-2.398139E-1
4.369444E0,-2.444155E-1
4.402922E0,-2.491543E-1
4.436411E0,-2.538764E-1
4.469889E0,-2.586247E-1
4.503367E0,-2.635194E-1
4.536856E0,-2.683961E-1
4.570333E0,-2.732071E-1
4.603811E0,-2.780056E-1
4.637300E0,-2.830676E-1
4.670778E0,-2.880668E-1
4.704267E0,-2.930784E-1
4.737744E0,-2.981197E-1
4.771222E0,-3.032004E-1
4.804711E0,-3.083397E-1
4.838189E0,-3.135771E-1
4.871678E0,-3.188054E-1
4.905156E0,-3.240010E-1
4.938633E0,-3.293583E-1
4.972122E0,-3.348942E-1
5.005600E0,-3.402104E-1
5.039078E0,-3.457344E-1
5.072567E0,-3.512810E-1
5.106044E0,-3.567033E-1
5.139533E0,-3.623168E-1
5.173011E0,-3.681494E-1
5.206489E0,-3.738479E-1
5.239978E0,-3.797235E-1
5.273456E0,-3.857251E-1
5.306933E0,-3.914807E-1
5.340422E0,-3.974415E-1
5.373900E0,-4.034036E-1
5.407389E0,-4.093801E-1
5.440867E0,-4.154495E-1
5.474344E0,-4.215688E-1
5.507833E0,-4.276497E-1
