t,x,y
0E+00,-2.58283E-03,7.748489E-03
5.792556E-01,-2.016435E-03,7.390018E-03
6.127333E-01,-1.823972E-03,7.362374E-03
6.462222E-01,-2.002106E-03,7.229587E-03
6.797E-01,-1.790728E-03,7.294388E-03
7.131889E-01,-1.874728E-03,7.225766E-03
7.466667E-01,-1.733986E-03,7.239354E-03
7.801444E-01,-1.808097E-03,7.106977E-03
8.136333E-01,-2.60699E-03,6.880753E-03
8.471111E-01,-2.625181E-03,6.763798E-03
8.806E-01,-2.745099E-03,6.726467E-03
9.140778E-01,-2.873291E-03,6.495668E-03
9.475556E-01,-3.519493E-03,6.254943E-03
9.810444E-01,-2.710396E-03,6.141281E-03
1.014522E+00,-3.284148E-03,5.807205E-03
1.048E+00,-3.521676E-03,5.263715E-03
1.081489E+00,-3.033732E-03,5.013636E-03
1.114967E+00,-2.921308E-03,4.520243E-03
1.148456E+00,-2.928394E-03,4.077658E-03
1.181933E+00,-2.492049E-03,3.533287E-03
1.215411E+00,-2.276392E-03,3.090548E-03
1.2489E+00,-1.729027E-03,2.451332E-03
1.282378E+00,-1.954819E-03,1.635594E-03
1.315856E+00,-1.185041E-03,1.100224E-03
1.349344E+00,-1.916215E-03,1.337688E-04
1.382822E+00,-1.258189E-03,-3.407601E-04
1.416311E+00,-1.155676E-03,-1.401958E-03
1.449789E+00,-5.780002E-04,-2.035975E-03
1.483267E+00,-5.651897E-04,-2.982501E-03
1.516756E+00,-9.419115E-04,-4.044833E-03
1.550233E+00,-5.231791E-04,-4.648106E-03
1.583711E+00,-7.861127E-04,-5.626466E-03
1.617189E+00,-8.308616E-04,-6.634111E-03
1.650678E+00,-1.243038E-03,-7.580311E-03
1.684167E+00,-1.346678E-03,-8.673294E-03
1.717644E+00,-7.221373E-04,-9.334886E-03
1.751122E+00,-7.087582E-04,-1.034593E-02
1.784611E+00,-6.077083E-04,-1.141549E-02
1.818089E+00,-1.266279E-03,-1.239709E-02
1.851578E+00,-1.447856E-03,-1.341147E-02
1.885056E+00,-1.376535E-03,-1.461354E-02
1.918533E+00,-1.141619E-03,-1.561454E-02
1.952022E+00,-1.413313E-03,-1.697426E-02
1.9855E+00,-1.233499E-03,-1.820898E-02
2.018989E+00,-1.530864E-03,-1.947077E-02
2.052467E+00,-8.658192E-04,-2.081273E-02
2.085944E+00,-1.193742E-03,-2.213095E-02
2.119433E+00,-2.627839E-04,-2.339958E-02
2.152911E+00,-1.298495E-04,-2.486323E-02
2.186389E+00,-2.536161E-05,-2.64748E-02
2.219878E+00,2.942439E-04,-2.786285E-02
2.253356E+00,5.783007E-04,-2.936944E-02
2.286844E+00,6.558956E-04,-3.091366E-02
2.320322E+00,1.329516E-03,-3.252155E-02
2.3538E+00,1.580543E-03,-3.419953E-02
2.387289E+00,1.863114E-03,-3.570885E-02
2.420767E+00,1.690057E-03,-3.749738E-02
2.454244E+00,1.571615E-03,-3.911453E-02
2.487733E+00,1.700864E-03,-4.065865E-02
2.521211E+00,1.183296E-03,-4.27028E-02
2.5547E+00,-1.94367E-03,-4.438582E-02
2.588178E+00,-2.249584E-03,-4.634171E-02
2.621656E+00,-2.400234E-03,-4.824079E-02
2.655144E+00,-3.071733E-03,-5.017363E-02
2.688633E+00,-3.497906E-03,-5.188693E-02
2.722111E+00,-3.578022E-03,-5.380236E-02
2.755589E+00,-4.018815E-03,-5.578287E-02
2.789067E+00,-4.510592E-03,-5.78122E-02
2.822556E+00,-4.575973E-03,-5.965119E-02
2.856033E+00,-4.773525E-03,-6.17341E-02
2.889511E+00,-4.817021E-03,-6.388424E-02
2.923E+00,-5.036406E-03,-6.592176E-02
2.956478E+00,-4.85185E-03,-6.817271E-02
2.989989E+00,-4.986663E-03,-7.024804E-02
3.023444E+00,-4.831758E-03,-7.229408E-02
3.056922E+00,-4.510395E-03,-7.476415E-02
3.090411E+00,-4.267939E-03,-7.732237E-02
3.123889E+00,-4.266558E-03,-7.941515E-02
3.157367E+00,-4.130545E-03,-8.181785E-02
3.190856E+00,-3.811683E-03,-8.40643E-02
3.224333E+00,-3.422204E-03,-8.666068E-02
3.257822E+00,-3.051014E-03,-8.921461E-02
3.2913E+00,-2.762715E-03,-9.16319E-02
3.324778E+00,-2.079529E-03,-9.403018E-02
3.358267E+00,-1.966212E-03,-9.674809E-02
3.391744E+00,-1.798983E-03,-9.900047E-02
3.425233E+00,-1.572935E-03,-1.017523E-01
3.458711E+00,-1.454794E-03,-1.043376E-01
3.492189E+00,-1.306759E-03,-1.07105E-01
3.525678E+00,-1.249329E-03,-1.095989E-01
3.559156E+00,-9.975778E-04,-1.124699E-01
3.592633E+00,-1.086492E-03,-1.151855E-01
3.626122E+00,-1.430975E-03,-1.180844E-01
3.6596E+00,-1.720153E-03,-1.207E-01
3.693089E+00,-1.86175E-03,-1.235561E-01
3.726567E+00,-1.972734E-03,-1.265185E-01
3.760044E+00,-2.340359E-03,-1.294279E-01
3.793533E+00,-2.726094E-03,-1.321161E-01
3.827011E+00,-3.268189E-03,-1.351318E-01
3.8605E+00,-3.52391E-03,-1.380396E-01
3.893978E+00,-3.888361E-03,-1.409563E-01
3.927456E+00,-4.015962E-03,-1.441038E-01
3.960944E+00,-4.13428E-03,-1.47225E-01
3.994422E+00,-4.074743E-03,-1.502362E-01
4.0279E+00,-4.401977E-03,-1.535175E-01
4.061389E+00,-4.435266E-03,-1.567834E-01
4.094867E+00,-4.391733E-03,-1.598766E-01
4.128356E+00,-4.107745E-03,-1.631261E-01
4.161833E+00,-4.128938E-03,-1.662659E-01
4.195311E+00,-4.133229E-03,-1.696729E-01
4.2288E+00,-3.737527E-03,-1.729131E-01
4.252289E+00,-3.405263E-03,-1.757236E-01
4.285767E+00,-2.90021E-03,-1.791112E-01
4.319356E+00,-2.703433E-03,-1.825221E-01
4.352733E+00,-2.45718E-03,-1.85848E-01
4.386211E+00,-2.04641E-03,-1.893676E-01
4.4197E+00,-1.637596E-03,-1.930229E-01
4.453178E+00,-1.148776E-03,-1.966813E-01
4.486656E+00,-8.404649E-04,-2.002303E-01
4.520144E+00,-8.220717E-04,-2.037982E-01
4.553622E+00,-4.296959E-04,-2.074634E-01
4.587111E+00,-3.555816E-04,-2.113994E-01
4.620589E+00,-1.30148E-04,-2.149584E-01
4.654067E+00,-2.290862E-04,-2.185841E-01
4.687556E+00,-1.734919E-05,-2.223354E-01
4.721033E+00,2.515691E-04,-2.261076E-01
4.754511E+00,2.368789E-04,-2.298377E-01
4.788E+00,1.313443E-04,-2.337328E-01
4.821478E+00,4.313884E-04,-2.376292E-01
4.854967E+00,6.475387E-04,-2.415428E-01
4.888444E+00,1.28177E-03,-2.456473E-01
4.921922E+00,1.803908E-03,-2.497749E-01
4.955411E+00,2.812691E-03,-2.537508E-01
4.988889E+00,2.939962E-03,-2.577804E-01
5.022378E+00,4.134291E-03,-2.618264E-01
5.055856E+00,4.051373E-03,-2.659364E-01
5.089333E+00,4.135192E-03,-2.701367E-01
5.122822E+00,4.202137E-03,-2.742718E-01
5.1563E+00,3.963771E-03,-2.784107E-01
5.189778E+00,3.911529E-03,-2.825843E-01
5.223267E+00,3.901143E-03,-2.866527E-01
5.256744E+00,3.935522E-03,-2.908798E-01
5.290233E+00,3.903585E-03,-2.953406E-01
5.323711E+00,3.903959E-03,-2.995032E-01
5.357189E+00,3.973302E-03,-3.037317E-01
5.390678E+00,3.97882E-03,-3.081643E-01
5.424156E+00,4.134802E-03,-3.126461E-01
5.457633E+00,4.244031E-03,-3.169498E-01
5.491122E+00,4.41632E-03,-3.215442E-01
5.5246E+00,4.700216E-03,-3.259231E-01
