t,x,y
0E+00,-5.165659E-04,7.748489E-03
2.942778E-01,3.709992E-03,6.9244E-03
3.277556E-01,4.029928E-03,6.871536E-03
3.612333E-01,4.334705E-03,6.833321E-03
3.947222E-01,4.311905E-03,6.869314E-03
4.282E-01,4.244849E-03,6.788976E-03
4.616778E-01,3.963757E-03,6.88617E-03
4.951667E-01,3.45217E-03,6.752903E-03
5.286444E-01,3.010534E-03,6.716954E-03
5.621333E-01,2.300853E-03,6.722067E-03
5.956111E-01,2.067275E-03,6.642749E-03
6.290889E-01,1.530582E-03,6.597085E-03
6.625778E-01,4.878907E-04,6.34569E-03
6.960556E-01,7.293584E-04,6.023809E-03
7.295444E-01,2.588729E-04,5.812609E-03
7.630222E-01,4.986546E-04,5.630972E-03
7.965E-01,4.98988E-04,5.333273E-03
8.299889E-01,4.347823E-04,4.885457E-03
8.634667E-01,5.268635E-04,4.309647E-03
8.969556E-01,1.65785E-03,3.951285E-03
9.304333E-01,1.67468E-03,3.21705E-03
9.639111E-01,2.098082E-03,2.662961E-03
9.974E-01,3.08034E-03,1.948957E-03
1.030878E+00,3.576882E-03,1.10137E-03
1.064356E+00,3.832903E-03,5.4025E-04
1.097844E+00,4.144932E-03,-3.504072E-04
1.131322E+00,4.976836E-03,-1.067143E-03
1.164811E+00,5.376359E-03,-1.971715E-03
1.198233E+00,5.911429E-03,-2.672403E-03
1.231767E+00,6.02447E-03,-3.601395E-03
1.265256E+00,6.02855E-03,-4.472652E-03
1.298733E+00,5.582866E-03,-5.538998E-03
1.332211E+00,5.916971E-03,-6.41797E-03
1.3657E+00,5.282085E-03,-7.083393E-03
1.399178E+00,4.348094E-03,-8.201046E-03
1.432667E+00,3.715912E-03,-9.124448E-03
1.466144E+00,3.240819E-03,-1.025192E-02
1.499622E+00,2.402917E-03,-1.126947E-02
1.533111E+00,2.242334E-03,-1.213477E-02
1.566589E+00,1.85684E-03,-1.299524E-02
1.600067E+00,1.36469E-03,-1.413918E-02
1.633556E+00,1.643515E-03,-1.511551E-02
1.667033E+00,1.52422E-03,-1.621738E-02
1.700522E+00,1.289447E-03,-1.753935E-02
1.734E+00,1.482235E-03,-1.869733E-02
1.767478E+00,1.550494E-03,-1.999897E-02
1.800967E+00,2.085682E-03,-2.139706E-02
1.834444E+00,2.735759E-03,-2.294361E-02
1.867933E+00,3.147215E-03,-2.434021E-02
1.901411E+00,3.44657E-03,-2.589707E-02
1.934889E+00,3.904578E-03,-2.72254E-02
1.968378E+00,4.309486E-03,-2.899476E-02
2.001856E+00,5.071182E-03,-3.048303E-02
2.035333E+00,5.069568E-03,-3.230506E-02
2.068822E+00,5.90956E-03,-3.378395E-02
2.1023E+00,5.951109E-03,-3.565068E-02
2.135789E+00,6.353177E-03,-3.728859E-02
2.169267E+00,6.64472E-03,-3.905423E-02
2.202744E+00,6.579794E-03,-4.069594E-02
2.236233E+00,6.497039E-03,-4.245091E-02
2.269711E+00,6.128054E-03,-4.428831E-02
2.303189E+00,6.143615E-03,-4.603542E-02
2.336678E+00,5.755108E-03,-4.768382E-02
2.370156E+00,5.097321E-03,-4.936466E-02
2.403644E+00,4.839208E-03,-5.137018E-02
2.437122E+00,-3.396304E-04,-5.319183E-02
2.4706E+00,-1.407001E-03,-5.516943E-02
2.504089E+00,-2.088124E-03,-5.709961E-02
2.537567E+00,-2.889123E-03,-5.93759E-02
2.571056E+00,-3.318842E-03,-6.116204E-02
2.604533E+00,-3.50741E-03,-6.302659E-02
2.638011E+00,-3.522271E-03,-6.503452E-02
2.6715E+00,-3.688345E-03,-6.724695E-02
2.704978E+00,-3.858854E-03,-6.939852E-02
2.738467E+00,-3.801391E-03,-7.162284E-02
2.771944E+00,-3.374842E-03,-7.379468E-02
2.805422E+00,-2.902801E-03,-7.61223E-02
2.838911E+00,-2.457938E-03,-7.865618E-02
2.872389E+00,-1.416765E-03,-8.075672E-02
2.905867E+00,-9.841304E-04,-8.336667E-02
2.939356E+00,-4.033608E-04,-8.589732E-02
2.972833E+00,3.882346E-04,-8.831866E-02
3.006322E+00,8.253754E-04,-9.068179E-02
3.0398E+00,1.557853E-03,-9.336445E-02
3.073278E+00,1.973826E-03,-9.593559E-02
3.106767E+00,2.431938E-03,-9.856088E-02
3.140244E+00,3.027813E-03,-1.011341E-01
3.173722E+00,3.358158E-03,-1.041026E-01
3.207211E+00,3.529036E-03,-1.066949E-01
3.240689E+00,3.346634E-03,-1.09486E-01
3.274178E+00,3.286977E-03,-1.121269E-01
3.307656E+00,3.086157E-03,-1.149778E-01
3.341133E+00,2.531928E-03,-1.175888E-01
3.374622E+00,2.165031E-03,-1.204963E-01
