t,y
0.000000E0,8.774755E-3
3.321035E-2,8.854768E-3
6.642071E-2,8.442829E-3
9.963106E-2,8.387244E-3
1.328414E-1,8.627420E-3
1.660518E-1,8.628408E-3
1.992621E-1,8.753961E-3
2.324725E-1,8.702935E-3
2.656828E-1,8.819671E-3
2.988932E-1,9.104096E-3
3.321035E-1,9.170415E-3
3.653139E-1,9.587520E-3
3.985242E-1,9.780295E-3
4.317346E-1,9.727684E-3
4.649449E-1,9.869756E-3
4.981553E-1,9.930169E-3
5.313657E-1,1.014849E-2
5.645760E-1,9.974982E-3
5.977864E-1,1.014201E-2
6.309967E-1,1.001877E-2
6.642071E-1,1.007773E-2
6.974174E-1,9.880648E-3
7.306278E-1,9.735297E-3
7.638381E-1,9.671762E-3
7.970485E-1,9.286249E-3
8.302588E-1,8.900499E-3
8.634692E-1,8.743152E-3
8.966795E-1,8.647896E-3
9.298899E-1,8.395088E-3
9.631003E-1,7.741135E-3
9.963106E-1,7.471606E-3
1.029521E0,7.193619E-3
1.062731E0,6.765300E-3
1.095942E0,6.313591E-3
1.129152E0,6.097252E-3
1.162362E0,5.515644E-3
1.195573E0,5.042867E-3
1.228783E0,4.680645E-3
1.261993E0,3.930493E-3
1.295204E0,3.717412E-3
1.328414E0,2.733418E-3
1.361624E0,2.170111E-3
1.394835E0,1.469050E-3
1.428045E0,5.004038E-4
1.461256E0,-5.037708E-4
1.494466E0,-1.345141E-3
1.527676E0,-2.616729E-3
1.560887E0,-3.799551E-3
1.594097E0,-4.708615E-3
1.627307E0,-6.379793E-3
1.660518E0,-7.557608E-3
1.693728E0,-8.956945E-3
1.726938E0,-1.024403E-2
1.760149E0,-1.186090E-2
1.793359E0,-1.324269E-2
1.826569E0,-1.504810E-2
1.859780E0,-1.641304E-2
1.892990E0,-1.795503E-2
1.926201E0,-1.966311E-2
1.959411E0,-2.115667E-2
1.992621E0,-2.255307E-2
2.025832E0,-2.437591E-2
2.059042E0,-2.595794E-2
2.092252E0,-2.749662E-2
2.125463E0,-2.924334E-2
2.158673E0,-3.077118E-2
2.191883E0,-3.252446E-2
2.225094E0,-3.405396E-2
2.258304E0,-3.555113E-2
2.291514E0,-3.897109E-2
2.324725E0,-4.090310E-2
2.357935E0,-4.324405E-2
2.391145E0,-4.547748E-2
2.424356E0,-4.781220E-2
2.457566E0,-5.017485E-2
2.490777E0,-5.252358E-2
2.523987E0,-5.473990E-2
2.557197E0,-5.741719E-2
2.590408E0,-5.968526E-2
2.623618E0,-6.201052E-2
2.656828E0,-6.507953E-2
2.690039E0,-6.750858E-2
2.723249E0,-7.020821E-2
2.756459E0,-7.299137E-2
2.789670E0,-7.549495E-2
2.822880E0,-7.933961E-2
2.856090E0,-8.163119E-2
2.889301E0,-8.443935E-2
2.922511E0,-8.763870E-2
2.955721E0,-9.035468E-2
2.988932E0,-9.385043E-2
3.022142E0,-9.604771E-2
3.055353E0,-9.913209E-2
3.088563E0,-1.021936E-1
3.121773E0,-1.053535E-1
3.154984E0,-1.082755E-1
3.188194E0,-1.113393E-1
3.221404E0,-1.146030E-1
3.254615E0,-1.177587E-1
3.287825E0,-1.213248E-1
3.321035E0,-1.243370E-1
3.354246E0,-1.274501E-1
3.387456E0,-1.313201E-1
3.420666E0,-1.347134E-1
3.453877E0,-1.383588E-1
3.487087E0,-1.416228E-1
3.520297E0,-1.455229E-1
3.553508E0,-1.495520E-1
3.586718E0,-1.534005E-1
3.619929E0,-1.569771E-1
3.653139E0,-1.607944E-1
3.686349E0,-1.648082E-1
3.719560E0,-1.684035E-1
3.752770E0,-1.725606E-1
3.785980E0,-1.772433E-1
3.819191E0,-1.811504E-1
3.852401E0,-1.853899E-1
3.885611E0,-1.894090E-1
3.918822E0,-1.934816E-1
3.952032E0,-1.976757E-1
3.985242E0,-2.019177E-1
4.018453E0,-2.058667E-1
4.051663E0,-2.099200E-1
4.084873E0,-2.141553E-1
4.118084E0,-2.187437E-1
4.151294E0,-2.233725E-1
4.184505E0,-2.279062E-1
4.217715E0,-2.323324E-1
4.250925E0,-2.369525E-1
4.284136E0,-2.416947E-1
4.317346E0,-2.457161E-1
4.350556E0,-2.507857E-1
4.383767E0,-2.556741E-1
4.416977E0,-2.606663E-1
4.450187E0,-2.655705E-1
4.483398E0,-2.703974E-1
4.516608E0,-2.754617E-1
4.549818E0,-2.803386E-1
4.583029E0,-2.852852E-1
4.616239E0,-2.902912E-1
4.649449E0,-2.953717E-1
4.682660E0,-3.004328E-1
4.715870E0,-3.054691E-1
4.749081E0,-3.106591E-1
4.782291E0,-3.160265E-1
4.815501E0,-3.210956E-1
4.848712E0,-3.263578E-1
4.881922E0,-3.318670E-1
4.915132E0,-3.372088E-1
4.948343E0,-3.429485E-1
4.981553E0,-3.482890E-1
5.014763E0,-3.535361E-1
5.047974E0,-3.594584E-1
5.081184E0,-3.648480E-1
5.114394E0,-3.704301E-1
5.147605E0,-3.765546E-1
5.180815E0,-3.822690E-1
5.214026E0,-3.882289E-1
5.247236E0,-3.941499E-1
5.280446E0,-3.998236E-1
5.313657E0,-4.060271E-1
5.346867E0,-4.119445E-1
5.380077E0,-4.180002E-1
5.413288E0,-4.240301E-1
5.446498E0,-4.302643E-1
5.479708E0,-4.366157E-1
5.512919E0,-4.428047E-1
5.546129E0,-4.492183E-1
5.579339E0,-4.553760E-1
5.612550E0,-4.620871E-1
5.645760E0,-4.681743E-1
5.678970E0,-4.747196E-1
5.712181E0,-4.813854E-1
5.745391E0,-4.879032E-1
5.778602E0,-4.948169E-1
5.811812E0,-5.011833E-1
5.845022E0,-5.081791E-1
5.878233E0,-5.147049E-1
5.911443E0,-5.219311E-1
5.944653E0,-5.289605E-1
5.977864E0,-5.358279E-1
6.011074E0,-5.427003E-1
6.044284E0,-5.497014E-1
6.077495E0,-5.568628E-1
6.110705E0,-5.639467E-1
6.143915E0,-5.711151E-1
6.177126E0,-5.782751E-1
6.210336E0,-5.855180E-1
6.243546E0,-5.928493E-1
6.276757E0,-6.002201E-1
6.309967E0,-6.077496E-1
6.343178E0,-6.149644E-1
6.376388E0,-6.225759E-1
6.409598E0,-6.302178E-1
6.442809E0,-6.374264E-1
6.476019E0,-6.451410E-1
6.509229E0,-6.529531E-1
6.542440E0,-6.608767E-1
6.575650E0,-6.686976E-1
6.608860E0,-6.761495E-1
6.642071E0,-6.840860E-1
6.675281E0,-6.921617E-1
6.708491E0,-6.997280E-1
6.741702E0,-7.076534E-1
6.774912E0,-7.158659E-1
6.808122E0,-7.240173E-1
6.841333E0,-7.320684E-1
6.874543E0,-7.398869E-1
6.907754E0,-7.484806E-1
6.940964E0,-7.563089E-1
6.974174E0,-7.646481E-1
7.007385E0,-7.729101E-1
7.040595E0,-7.813977E-1
7.073805E0,-7.899287E-1
7.107016E0,-7.982655E-1
7.140226E0,-8.072575E-1
7.173436E0,-8.156945E-1
7.206647E0,-8.242722E-1
7.239857E0,-8.329993E-1
7.273067E0,-8.417105E-1
7.306278E0,-8.504946E-1
7.339488E0,-8.592933E-1
7.372698E0,-8.686245E-1
7.405909E0,-8.764618E-1
7.439119E0,-8.859602E-1
7.472330E0,-8.948234E-1
7.505540E0,-9.035142E-1
7.538750E0,-9.138182E-1
7.571961E0,-9.226785E-1
7.605171E0,-9.319521E-1
7.638381E0,-9.413961E-1
7.671592E0,-9.503777E-1
7.704802E0,-9.594850E-1
7.738012E0,-9.692750E-1
7.771223E0,-9.786388E-1
7.804433E0,-9.885437E-1
7.837643E0,-9.984629E-1
7.870854E0,-1.007577E0
7.904064E0,-1.017172E0
7.937274E0,-1.027287E0
7.970485E0,-1.036516E0
8.003695E0,-1.046928E0
8.036906E0,-1.057003E0
8.070116E0,-1.066596E0
8.103326E0,-1.076829E0
8.136537E0,-1.087062E0
8.169747E0,-1.096393E0
8.202957E0,-1.106688E0
8.236168E0,-1.117103E0
8.269378E0,-1.127494E0
8.302588E0,-1.137776E0
8.335799E0,-1.147914E0
8.369009E0,-1.158202E0
8.402219E0,-1.168713E0
8.435430E0,-1.179763E0
8.468640E0,-1.189073E0
8.501851E0,-1.199599E0
8.535061E0,-1.210810E0
8.568271E0,-1.221042E0
8.601482E0,-1.226337E0
8.634692E0,-1.219701E0
8.667902E0,-1.205877E0
8.701113E0,-1.196277E0
8.734323E0,-1.186554E0
8.767533E0,-1.173968E0
8.800744E0,-1.164786E0
8.833954E0,-1.153627E0
8.867164E0,-1.142080E0
8.900375E0,-1.132541E0
8.933585E0,-1.121038E0
8.966795E0,-1.110239E0
9.000006E0,-1.100158E0
9.033216E0,-1.089196E0
9.066427E0,-1.079208E0
9.099637E0,-1.068614E0
9.132847E0,-1.057997E0
9.166058E0,-1.047761E0
9.199268E0,-1.037726E0
9.232478E0,-1.027390E0
9.265689E0,-1.017063E0
9.298899E0,-1.007271E0
9.332109E0,-9.973780E-1
9.365320E0,-9.871065E-1
9.398530E0,-9.773989E-1
9.431740E0,-9.675304E-1
9.464951E0,-9.582535E-1
9.498161E0,-9.495052E-1
9.531371E0,-9.403305E-1
9.564582E0,-9.309418E-1
9.597792E0,-9.220821E-1
9.631003E0,-9.129906E-1
9.664213E0,-9.043134E-1
9.697423E0,-8.957822E-1
9.730634E0,-8.869134E-1
9.763844E0,-8.787571E-1
9.797054E0,-8.701880E-1
9.830265E0,-8.618926E-1
9.863475E0,-8.537638E-1
9.896685E0,-8.454789E-1
9.929896E0,-8.374460E-1
9.963106E0,-8.296305E-1
9.996316E0,-8.215947E-1
1.002953E1,-8.136239E-1
1.006274E1,-8.057310E-1
1.009595E1,-7.983288E-1
1.012916E1,-7.903427E-1
1.016237E1,-7.826446E-1
1.019558E1,-7.746648E-1
1.022879E1,-7.675488E-1
