t,x,y
9.856444E-01,5.163979E-04,7.48777E-03
1.002356E+00,5.163979E-04,7.48777E-03
1.019056E+00,1.58648E-03,7.334707E-03
1.035767E+00,1.09741E-03,7.394536E-03
1.052467E+00,1.045595E-03,7.427498E-03
1.069178E+00,1.394502E-03,7.524554E-03
1.085878E+00,8.364182E-04,7.09633E-03
1.102589E+00,1.305386E-03,7.376232E-03
1.119289E+00,9.173542E-04,7.010432E-03
1.136E+00,1.353137E-03,6.913177E-03
1.1527E+00,1.9072E-03,6.961257E-03
1.169411E+00,2.046972E-03,7.041375E-03
1.186211E+00,1.932708E-03,6.961982E-03
1.202822E+00,2.017023E-03,6.953449E-03
1.219522E+00,2.574441E-03,6.83123E-03
1.236233E+00,2.255124E-03,6.929362E-03
1.252944E+00,2.52594E-03,7.01982E-03
1.269644E+00,2.714635E-03,6.920918E-03
1.286356E+00,2.343313E-03,7.10522E-03
1.303056E+00,2.464672E-03,6.976281E-03
1.319767E+00,2.421276E-03,7.172847E-03
1.336467E+00,2.57611E-03,6.963856E-03
1.353178E+00,2.137367E-03,7.056726E-03
1.369878E+00,2.60218E-03,7.018253E-03
1.386589E+00,1.794583E-03,6.927886E-03
1.403289E+00,1.608234E-03,7.028072E-03
1.42E+00,1.348815E-03,6.988086E-03
1.4367E+00,1.194044E-03,6.998748E-03
1.453411E+00,2.195788E-03,7.356575E-03
1.470111E+00,1.298304E-03,7.167221E-03
1.486822E+00,5.264513E-04,7.110345E-03
1.503522E+00,1.925401E-03,7.354063E-03
1.520233E+00,1.276644E-03,7.290062E-03
1.536933E+00,1.113399E-03,7.405909E-03
1.553644E+00,9.679942E-04,7.310866E-03
1.570356E+00,1.312265E-03,7.54091E-03
1.587056E+00,8.57599E-04,7.562412E-03
1.603767E+00,1.029929E-03,7.375714E-03
1.620467E+00,4.572396E-04,7.535169E-03
1.637178E+00,5.21786E-04,7.65625E-03
1.653878E+00,5.817206E-04,7.447996E-03
1.670589E+00,3.524207E-04,7.438157E-03
1.687289E+00,4.608922E-04,7.490528E-03
1.704E+00,5.401806E-04,7.424673E-03
1.7207E+00,2.695774E-04,7.571619E-03
1.737411E+00,1.013122E-03,7.367904E-03
1.754111E+00,3.195468E-04,7.646617E-03
1.770822E+00,6.459054E-04,7.401413E-03
1.787522E+00,8.493172E-04,7.363626E-03
1.804233E+00,2.965192E-04,7.188613E-03
1.820933E+00,5.469582E-04,6.990377E-03
1.837644E+00,9.999531E-04,6.951831E-03
1.854344E+00,1.175104E-03,6.808964E-03
1.871056E+00,1.31947E-03,6.876723E-03
1.887756E+00,9.120425E-04,6.630187E-03
1.904467E+00,1.70604E-03,6.491028E-03
1.921156E+00,1.485416E-03,6.44402E-03
1.937878E+00,2.467691E-03,6.378523E-03
1.954589E+00,1.802324E-03,6.272053E-03
1.971289E+00,2.026803E-03,6.057023E-03
1.988E+00,2.43496E-03,5.804604E-03
2.0047E+00,2.29183E-03,5.526662E-03
2.021411E+00,2.645799E-03,5.868951E-03
2.038111E+00,2.85542E-03,5.395386E-03
2.054822E+00,3.173374E-03,5.299341E-03
2.071522E+00,2.813874E-03,4.912737E-03
2.088233E+00,3.242452E-03,4.812985E-03
2.104933E+00,3.500338E-03,4.807216E-03
2.121644E+00,2.566742E-03,4.589438E-03
2.138344E+00,3.013679E-03,4.351247E-03
2.155056E+00,3.308928E-03,4.18584E-03
2.171756E+00,3.000452E-03,3.969719E-03
2.188467E+00,3.032338E-03,4.024132E-03
2.205167E+00,3.161099E-03,3.793027E-03
