t,x,y
0E+00,-5.165659E-04,6.97364E-03
1.406256E+00,1.716637E-03,6.576176E-03
1.439733E+00,2.633692E-03,6.693254E-03
1.473211E+00,2.851415E-03,6.875789E-03
1.5067E+00,3.421102E-03,6.994403E-03
1.540178E+00,3.598733E-03,7.12361E-03
1.573656E+00,3.744747E-03,7.04026E-03
1.607144E+00,3.857461E-03,7.005098E-03
1.640622E+00,3.884321E-03,7.119868E-03
1.674111E+00,4.036898E-03,7.065852E-03
1.707589E+00,3.96808E-03,7.139301E-03
1.741067E+00,3.765295E-03,7.067047E-03
1.774556E+00,3.765007E-03,7.131074E-03
1.808033E+00,3.704508E-03,7.123399E-03
1.841522E+00,3.233595E-03,7.009148E-03
1.875E+00,2.797978E-03,6.817354E-03
1.908678E+00,2.688557E-03,6.752649E-03
1.941967E+00,2.579102E-03,6.666243E-03
1.975444E+00,1.820288E-03,6.356089E-03
2.008922E+00,1.806596E-03,6.10308E-03
2.042411E+00,1.521869E-03,5.777366E-03
2.075889E+00,1.509145E-03,5.51777E-03
2.109378E+00,1.158217E-03,5.110276E-03
2.142856E+00,1.100297E-03,4.876481E-03
2.176333E+00,1.042099E-03,4.448545E-03
2.209822E+00,1.407972E-03,3.920081E-03
2.2433E+00,1.641518E-03,3.753265E-03
2.276778E+00,2.162301E-03,3.319876E-03
2.310267E+00,2.134206E-03,2.875572E-03
2.343744E+00,2.439838E-03,2.355272E-03
2.377233E+00,2.436663E-03,1.995397E-03
2.410711E+00,3.037457E-03,1.359179E-03
2.444189E+00,3.109007E-03,1.03591E-03
2.477678E+00,3.17854E-03,4.834323E-04
2.511156E+00,3.715632E-03,8.985974E-05
2.544644E+00,3.930786E-03,-3.495702E-04
2.578122E+00,3.861825E-03,-1.167655E-03
2.6116E+00,4.114116E-03,-1.704049E-03
2.645089E+00,4.022396E-03,-2.276757E-03
2.678567E+00,4.038471E-03,-2.874426E-03
2.712044E+00,3.05864E-03,-3.454298E-03
2.745533E+00,2.766003E-03,-4.164349E-03
2.779011E+00,2.485127E-03,-4.832491E-03
2.8125E+00,2.14776E-03,-6.030724E-03
2.845978E+00,-2.872303E-03,-6.765434E-03
2.879456E+00,-2.732177E-03,-7.579162E-03
2.912944E+00,-3.989549E-03,-8.422315E-03
2.946422E+00,-4.116881E-03,-9.482731E-03
2.9799E+00,-4.426104E-03,-1.061222E-02
3.013389E+00,-4.699571E-03,-1.175723E-02
3.046867E+00,-5.195896E-03,-1.282578E-02
3.080356E+00,-5.677845E-03,-1.359668E-02
3.113833E+00,-5.968471E-03,-1.471465E-02
3.147311E+00,-5.943033E-03,-1.599781E-02
3.1808E+00,-6.204001E-03,-1.7068E-02
3.214278E+00,-6.212572E-03,-1.824511E-02
3.247767E+00,-6.306193E-03,-1.938724E-02
3.281244E+00,-5.424788E-03,-2.063732E-02
3.314722E+00,-6.004834E-03,-2.175003E-02
3.348211E+00,-5.55635E-03,-2.296555E-02
3.381689E+00,-5.203235E-03,-2.403682E-02
3.415167E+00,-4.67166E-03,-2.541721E-02
3.448656E+00,-4.281549E-03,-2.660344E-02
3.482133E+00,-3.60315E-03,-2.78876E-02
3.515622E+00,-3.616981E-03,-2.916397E-02
3.5491E+00,-3.388883E-03,-3.011251E-02
3.582578E+00,-3.235176E-03,-3.174807E-02
3.616067E+00,-3.016842E-03,-3.299525E-02
3.649544E+00,-2.934124E-03,-3.448857E-02
3.683033E+00,-2.900671E-03,-3.582172E-02
3.716511E+00,-3.012995E-03,-3.729513E-02
3.749989E+00,-3.460332E-03,-3.880986E-02
3.783478E+00,-3.533618E-03,-4.046402E-02
3.816956E+00,-3.671046E-03,-4.204818E-02
3.850433E+00,-3.950315E-03,-4.351676E-02
3.883922E+00,-4.454404E-03,-4.509019E-02
3.9174E+00,-4.574958E-03,-4.680477E-02
3.950889E+00,-5.459109E-03,-4.872459E-02
3.984367E+00,-5.242097E-03,-5.008048E-02
4.017844E+00,-5.863526E-03,-5.181922E-02
4.051333E+00,-6.485034E-03,-5.383076E-02
4.084811E+00,-6.193847E-03,-5.547296E-02
4.118289E+00,-6.179249E-03,-5.715881E-02
4.151778E+00,-6.662798E-03,-5.897744E-02
4.185256E+00,-6.48619E-03,-6.086467E-02
4.218744E+00,-6.592681E-03,-6.276037E-02
4.252222E+00,-6.40887E-03,-6.477864E-02
4.2857E+00,-6.687725E-03,-6.671624E-02
4.319189E+00,-6.222054E-03,-6.857992E-02
4.352667E+00,-5.585916E-03,-7.058327E-02
4.386156E+00,-5.594367E-03,-7.264312E-02
4.409644E+00,-5.348274E-03,-7.439269E-02
4.443122E+00,-4.983035E-03,-7.652985E-02
4.4766E+00,-4.384867E-03,-7.841909E-02
4.510089E+00,-3.859015E-03,-8.03837E-02
4.543567E+00,-3.720081E-03,-8.258666E-02
4.577056E+00,-3.481827E-03,-8.460233E-02
4.610533E+00,-3.387338E-03,-8.677528E-02
