t,y,vy,ay
0.000000E0,8.173374E-3,,
1.668889E-2,8.245228E-3,6.897182E-4,
3.337778E-2,8.196395E-3,2.899707E-3,1.815570E-2
5.006667E-2,8.342014E-3,4.132856E-3,4.646289E-3
6.675556E-2,8.334340E-3,7.390884E-4,-4.335528E-1
8.344444E-2,8.366683E-3,-7.929861E-3,-1.270886E-1
1.001333E-1,8.069659E-3,-7.906512E-3,3.225962E-1
1.168222E-1,8.102781E-3,6.436328E-3,2.605432E-1
1.335000E-1,8.284418E-3,1.925671E-3,-2.919432E-1
1.501889E-1,8.167034E-3,-6.568685E-3,-2.355802E-1
1.668778E-1,8.065170E-3,-4.720442E-3,2.330382E-1
1.835667E-1,8.009476E-3,9.289571E-4,-6.249388E-3
2.002556E-1,8.096176E-3,-2.769893E-3,-2.699948E-1
2.169444E-1,7.917023E-3,-1.093888E-2,5.695575E-2
2.336333E-1,7.731061E-3,-1.208472E-3,1.964369E-1
2.503222E-1,7.876687E-3,-2.346242E-4,1.296710E-1
2.670111E-1,7.723230E-3,-1.901645E-3,1.113415E-1
2.837000E-1,7.813215E-3,6.663941E-3,1.998108E-1
3.003889E-1,7.945657E-3,4.569960E-3,-3.817009E-1
3.170778E-1,7.965750E-3,-6.166856E-3,-9.516391E-1
3.337667E-1,7.739821E-3,-2.690859E-2,-2.250251E-1
3.504556E-1,7.067601E-3,-1.942858E-2,9.080182E-1
3.671333E-1,7.091554E-3,1.003380E-2,5.497072E-1
3.838222E-1,7.402395E-3,9.246331E-4,-4.276156E-1
4.005111E-1,7.122416E-3,-1.130464E-2,-7.451977E-1
4.172000E-1,7.025072E-3,-1.810341E-2,-1.893667E-1
4.338889E-1,6.518165E-3,-2.297045E-2,5.066167E-2
4.505778E-1,6.258369E-3,-1.292207E-2,4.053803E-1
4.672667E-1,6.086855E-3,-9.808639E-3,2.023157E-1
4.839556E-1,5.930979E-3,-6.779066E-3,1.037188E-1
5.006444E-1,5.860585E-3,-5.498949E-3,1.238325E-1
5.173333E-1,5.747436E-3,-3.802934E-3,-2.173086E-1
5.340222E-1,5.733651E-3,-1.035709E-2,-4.646075E-1
5.507111E-1,5.401739E-3,-2.213761E-2,-1.961213E-1
5.674000E-1,4.994747E-3,-1.720963E-2,5.058297E-1
5.840889E-1,4.827320E-3,-3.775877E-3,-1.463503E-1
6.007778E-1,4.868717E-3,-1.836038E-2,-4.414138E-1
6.174556E-1,4.214695E-3,-2.708972E-2,1.045113E-2
6.341444E-1,3.964823E-3,-1.199497E-2,5.276826E-1
6.508333E-1,3.814330E-3,-1.018586E-2,7.363003E-2
6.675222E-1,3.624841E-3,-1.042871E-2,-2.088902E-1
6.842111E-1,3.466242E-3,-1.582390E-2,-9.630551E-2
7.009000E-1,3.096675E-3,-1.640168E-2,2.152526E-2
7.175889E-1,2.918791E-3,-1.232382E-2,1.121652E-1
