t,y,vy,ay
0.000000E0,5.363776E-3,,
1.668889E-2,5.458944E-3,4.816559E-3,
3.337778E-2,5.524542E-3,4.203606E-3,-1.760599E-1
5.006667E-2,5.599251E-3,-1.872411E-4,-2.130337E-1
6.674444E-2,5.518295E-3,-4.349408E-3,-8.853551E-2
8.343333E-2,5.454126E-3,-2.520568E-3,1.530888E-1
1.001222E-1,5.434164E-3,7.838117E-4,1.272832E-1
1.168111E-1,5.480288E-3,2.186779E-3,9.029530E-2
1.335000E-1,5.507154E-3,3.132448E-3,-1.089470E-1
1.501889E-1,5.584842E-3,-2.337555E-4,-1.157563E-1
1.668778E-1,5.499351E-3,-2.692704E-3,1.857044E-2
1.835667E-1,5.494966E-3,1.523555E-3,2.424705E-2
2.002556E-1,5.550204E-3,-1.091376E-3,1.421598E-1
2.169444E-1,5.458538E-3,3.474765E-3,7.067375E-2
2.336333E-1,5.666184E-3,5.456405E-3,-1.353831E-1
2.503222E-1,5.640660E-3,-3.972067E-3,-2.680073E-1
2.670111E-1,5.533605E-3,-3.592238E-3,-4.563022E-2
2.837000E-1,5.520760E-3,-3.893467E-3,9.579099E-2
3.003889E-1,5.403650E-3,-2.358196E-3,2.441797E-1
3.170667E-1,5.442074E-3,5.567314E-3,3.952113E-2
3.337556E-1,5.589413E-3,4.279789E-4,-1.677593E-1
3.504444E-1,5.456359E-3,-3.532690E-3,-2.546376E-1
3.671333E-1,5.471500E-3,-4.788910E-3,2.299507E-1
3.838222E-1,5.296516E-3,3.350932E-4,1.855932E-1
4.005111E-1,5.482684E-3,6.041498E-3,1.355858E-1
4.172000E-1,5.498168E-3,1.738099E-3,-2.613742E-1
4.338889E-1,5.540698E-3,-1.186928E-3,-1.979239E-1
4.505778E-1,5.458551E-3,-5.910046E-3,-8.116277E-2
4.672667E-1,5.343434E-3,-4.051224E-3,2.546454E-1
4.839556E-1,5.323330E-3,2.950317E-3,7.707428E-2
5.006444E-1,5.441909E-3,2.772396E-4,3.324669E-2
5.173333E-1,5.332584E-3,5.072996E-4,-1.504718E-1
5.340222E-1,5.458841E-3,-5.883383E-4,-1.234229E-1
5.507111E-1,5.312946E-3,-7.175378E-3,-2.208723E-1
5.673889E-1,5.219423E-3,-6.254443E-3,1.183107E-1
5.840778E-1,5.104256E-3,-4.043023E-3,6.046065E-2
6.007667E-1,5.084476E-3,-3.058279E-3,1.849054E-1
6.174556E-1,5.002178E-3,4.207296E-4,2.661532E-2
6.341444E-1,5.098519E-3,3.950517E-4,6.112684E-2
6.508333E-1,5.015364E-3,-4.828815E-4,1.742538E-1
6.675222E-1,5.082401E-3,7.734118E-3,-1.740236E-2
6.842111E-1,5.273512E-3,8.674851E-4,-2.049299E-1
7.009000E-1,5.111356E-3,-3.542901E-3,-7.284219E-2
7.175889E-1,5.155257E-3,1.826824E-3,4.277466E-2
7.342778E-1,5.172331E-3,-2.695517E-3,-7.463021E-2
7.509667E-1,5.065287E-3,-2.212090E-3,2.468934E-2
7.676556E-1,5.098497E-3,1.263618E-4,-1.262949E0
7.843333E-1,5.069503E-3,-4.003007E-2,-8.407720E-1
8.010222E-1,3.762827E-3,-4.356045E-2,4.221202E-1
8.177111E-1,3.615552E-3,-1.032472E-2,1.316347E0
8.344000E-1,3.418211E-3,-5.865802E-3,2.248940E-1
8.510889E-1,3.419765E-3,-7.770935E-4,-7.776630E-2
8.677778E-1,3.392273E-3,-8.572126E-3,-1.408253E-1
8.844667E-1,3.133646E-3,-8.352376E-3,6.729995E-2
9.011556E-1,3.113489E-3,-3.034318E-3,2.353749E-1
9.178444E-1,3.032368E-3,-2.391367E-3,-4.387353E-2
9.345333E-1,3.033671E-3,-3.080946E-3,-6.525596E-1
9.512222E-1,2.929533E-3,-2.302925E-2,-6.186497E-1
9.679111E-1,2.265006E-3,-2.954359E-2,3.842820E-1
9.846000E-1,1.943433E-3,-6.668612E-3,4.173873E-1
1.001289E0,2.042422E-3,-1.105354E-2,-2.098770E-1
1.017978E0,1.574491E-3,-2.129572E-2,-1.946275E-1
1.034656E0,1.331855E-3,-1.336536E-2,4.383015E-1
1.051344E0,1.128533E-3,-7.903135E-3,1.437880E-1
1.068033E0,1.068066E-3,-7.022932E-3,-3.092747E-1
1.084722E0,8.941232E-4,-1.863554E-2,-8.782648E-1
1.101411E0,4.460529E-4,-3.677958E-2,-2.272105E-1
1.118100E0,-3.334975E-4,-3.023693E-2,7.290146E-1
1.134789E0,-5.631886E-4,-7.251396E-3,6.846808E-1
1.151478E0,-5.755330E-4,-6.984589E-3,-2.633622E-1
1.168167E0,-7.963187E-4,-1.806549E-2,-1.494681E-1
1.184856E0,-1.178519E-3,-1.376789E-2,4.894591E-1
1.201544E0,-1.255860E-3,7.962327E-4,-7.321333E-1
1.218233E0,-1.151942E-3,-3.243498E-2,1.745161E-1
1.234922E0,-2.338468E-3,-1.343780E-2,4.947694E-1
1.251611E0,-1.600466E-3,1.084449E-2,7.584126E-1
1.268300E0,-1.976503E-3,-7.986284E-3,-1.522299E0
1.284978E0,-1.866942E-3,-2.633481E-2,-9.299702E-1
1.301667E0,-2.855207E-3,-5.158035E-2,-2.012468E-2
1.318356E0,-3.588579E-3,-2.309529E-2,7.285355E-1
1.335044E0,-3.626077E-3,-1.987885E-2,5.502639E-1
1.351733E0,-4.252091E-3,-1.584052E-2,4.446897E-1
1.368422E0,-4.154798E-3,3.943725E-3,1.770908E-1
1.385111E0,-4.120458E-3,-1.161152E-2,-8.575864E-1
1.401800E0,-4.542365E-3,-2.793715E-2,-2.358975E-1
1.418489E0,-5.052938E-3,-1.982927E-2,3.550159E-1
1.435178E0,-5.204222E-3,-1.218655E-2,-1.090231E-1
1.451867E0,-5.459698E-3,-2.457415E-2,-6.710737E-1
1.468556E0,-6.024452E-3,-3.641862E-2,-2.819981E-1
1.485244E0,-6.675271E-3,-3.409930E-2,6.733055E-1
1.501933E0,-7.162611E-3,-1.430546E-2,5.146484E-1
1.518622E0,-7.152755E-3,-1.162956E-2,-1.955330E-1
1.535300E0,-7.550651E-3,-2.613104E-2,-6.337180E-1
1.551989E0,-8.024661E-3,-3.126781E-2,1.060274E-1
1.568678E0,-8.594301E-3,-2.445933E-2,-2.874202E-3
1.585367E0,-8.841059E-3,-2.651497E-2,-3.637743E-1
1.602056E0,-9.479312E-3,-4.094816E-2,-1.231255E-1
1.618744E0,-1.020782E-2,-3.146291E-2,5.397544E-1
1.635433E0,-1.052947E-2,-1.908972E-2,6.896503E-1
1.652122E0,-1.084499E-2,-1.122931E-2,-2.215689E-3
1.668811E0,-1.090428E-2,-1.531621E-2,-1.889636E-1
1.685500E0,-1.135621E-2,-2.262977E-2,-5.351467E-1
1.702189E0,-1.165961E-2,-2.872057E-2,3.409182E-2
1.718878E0,-1.231484E-2,-2.690439E-2,4.036318E-2
1.735567E0,-1.255762E-2,-2.137087E-2,-7.636347E-4
1.752244E0,-1.302791E-2,-3.034485E-2,-5.545086E-1
1.768933E0,-1.357013E-2,-3.863053E-2,1.614590E-1
1.785622E0,-1.431732E-2,-2.869127E-2,3.546388E-1
1.802311E0,-1.452778E-2,-2.023302E-2,-1.509357E-2
1.819000E0,-1.499265E-2,-3.294305E-2,-2.385701E-1
1.835689E0,-1.562735E-2,-2.974465E-2,3.660493E-1
1.852378E0,-1.598546E-2,-1.810912E-2,5.677507E-1
1.869067E0,-1.623179E-2,-1.148866E-2,2.355290E-1
1.885756E0,-1.636893E-2,-9.594649E-3,-3.531091E-1
1.902444E0,-1.655204E-2,-2.249012E-2,-1.200034E0
1.919133E0,-1.711960E-2,-5.040135E-2,-6.774001E-1
1.935822E0,-1.823432E-2,-5.047055E-2,5.205887E-1
1.952511E0,-1.880419E-2,-2.703528E-2,9.974164E-1
1.969200E0,-1.913670E-2,-1.778480E-2,2.674101E-1
1.985889E0,-1.939781E-2,-1.816448E-2,-3.533387E-1
2.002567E0,-1.974279E-2,-2.936700E-2,-6.432204E-1
2.019256E0,-2.037769E-2,-4.128078E-2,-1.719881E-1
2.035944E0,-2.112065E-2,-3.599735E-2,3.865663E-1
2.052633E0,-2.157920E-2,-2.573039E-2,1.914682E-1
2.069322E0,-2.197947E-2,-2.953244E-2,-1.338340E-3
2.086011E0,-2.256493E-2,-2.854348E-2,5.291450E-2
